,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
11783,113731,1,Revolving loans,M,N,Y,1,135000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.015221,-12501,-257,-2675.0,-4497,,1,1,0,1,0,0,Laborers,3.0,2,2,THURSDAY,15,0,0,0,0,0,0,Self-employed,0.4269903486948576,0.4383768427638231,0.2525986978339766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-527.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
76792,189052,0,Cash loans,F,N,Y,0,157500.0,254700.0,30357.0,225000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.010147,-21735,365243,-12471.0,-4334,,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,8,0,0,0,0,0,0,XNA,,0.1949759641426386,0.6956219298394389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-274.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
57591,166744,1,Cash loans,M,Y,N,0,157500.0,521280.0,27292.5,450000.0,Unaccompanied,Working,Lower secondary,Married,House / apartment,0.0096569999999999,-11354,-1475,-2012.0,-3860,2.0,1,1,1,1,1,0,Laborers,2.0,2,2,WEDNESDAY,19,0,0,0,1,1,0,Business Entity Type 3,,0.6121092780728234,0.133429254467317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1574.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
106529,223600,0,Cash loans,F,N,Y,0,67500.0,324000.0,22680.0,324000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.018209,-22035,365243,-9759.0,-4082,,1,0,0,1,0,0,,2.0,3,3,WEDNESDAY,8,0,0,0,0,0,0,XNA,,0.5492785284297838,0.646329897706246,0.1113,0.0852,0.9871,0.8232,0.0874,0.12,0.1034,0.3333,0.375,0.0532,0.0908,0.116,0.0,0.2197,0.1134,0.0884,0.9871,0.8301,0.0882,0.1208,0.1034,0.3333,0.375,0.0545,0.0992,0.1208,0.0,0.2325,0.1124,0.0852,0.9871,0.8256,0.0879,0.12,0.1034,0.3333,0.375,0.0542,0.0923,0.118,0.0,0.2243,reg oper account,block of flats,0.1468,Panel,No,6.0,0.0,6.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
2938,103426,0,Cash loans,M,Y,Y,0,301500.0,539100.0,29376.0,450000.0,"Spouse, partner",Commercial associate,Higher education,Married,House / apartment,0.04622,-16029,-429,-713.0,-4402,2.0,1,1,0,1,0,0,Laborers,2.0,1,1,MONDAY,9,0,0,0,0,1,1,Business Entity Type 3,0.4209221519516638,0.7227089383669166,0.4578995512067301,0.0567,0.0952,0.9985,0.9796,0.0256,0.0,0.1379,0.125,0.1667,0.1051,0.0462,0.0674,0.0,0.0573,0.0578,0.0988,0.9985,0.9804,0.0258,0.0,0.1379,0.125,0.1667,0.1075,0.0505,0.0703,0.0,0.0607,0.0573,0.0952,0.9985,0.9799,0.0257,0.0,0.1379,0.125,0.1667,0.1069,0.047,0.0686,0.0,0.0585,reg oper account,block of flats,0.0804,Monolithic,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
129090,249737,1,Cash loans,F,N,N,0,144000.0,414000.0,27666.0,414000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.020713,-8725,-446,-2558.0,-1311,,1,1,1,1,1,0,Sales staff,1.0,3,3,THURSDAY,14,0,0,0,0,1,1,Business Entity Type 3,0.1924644330769076,0.1657442221514854,,0.0825,0.0658,0.9747,0.6532,0.0088,0.0,0.1379,0.1667,0.2083,0.0466,0.0672,0.0707,0.0,0.0,0.084,0.0683,0.9747,0.6668,0.0089,0.0,0.1379,0.1667,0.2083,0.0477,0.0735,0.0736,0.0,0.0,0.0833,0.0658,0.9747,0.6578,0.0089,0.0,0.1379,0.1667,0.2083,0.0474,0.0684,0.0719,0.0,0.0,reg oper account,block of flats,0.0604,Panel,No,0.0,0.0,0.0,0.0,-321.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
226003,361768,1,Cash loans,F,N,Y,0,40500.0,384048.0,14607.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00733,-18860,-2737,-10556.0,-2344,,1,1,0,1,0,0,Medicine staff,2.0,2,2,TUESDAY,14,0,0,0,0,0,0,Medicine,,0.5649942608905311,0.2458512138252296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-594.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
96403,211917,1,Revolving loans,F,Y,Y,0,180000.0,360000.0,18000.0,360000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.026392,-17524,-5311,-82.0,-1042,65.0,1,1,0,1,0,0,Core staff,2.0,2,2,WEDNESDAY,17,0,0,0,0,0,0,School,,0.5669334580769999,0.5334816299804352,0.3216,0.2873,0.9856,,,0.0,0.7241,0.1667,,0.5988,,0.2903,,0.0,0.3277,0.2981,0.9856,,,0.0,0.7241,0.1667,,0.6125,,0.3024,,0.0,0.3248,0.2873,0.9856,,,0.0,0.7241,0.1667,,0.6092,,0.2955,,0.0,,block of flats,0.2283,"Stone, brick",No,1.0,0.0,1.0,0.0,-2753.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
235231,372478,1,Revolving loans,M,Y,Y,1,180000.0,495000.0,24750.0,495000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.003813,-18309,-5605,-144.0,-1839,7.0,1,1,0,1,0,0,Managers,3.0,2,2,TUESDAY,12,0,1,1,0,1,1,Business Entity Type 3,,0.1350034817581613,0.3706496323299817,0.1227,0.104,0.9801,,,0.0,0.2759,0.1667,,0.0964,,0.1148,,0.0054,0.125,0.108,0.9801,,,0.0,0.2759,0.1667,,0.0986,,0.1196,,0.0057,0.1239,0.104,0.9801,,,0.0,0.2759,0.1667,,0.0981,,0.1169,,0.0055,,block of flats,0.0997,Panel,No,3.0,0.0,3.0,0.0,-316.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35453,141062,0,Cash loans,F,N,Y,1,202500.0,625536.0,33934.5,540000.0,Family,Working,Secondary / secondary special,Single / not married,House / apartment,0.006852,-16220,-1715,-765.0,-4416,,1,1,0,1,0,0,Sales staff,2.0,3,3,THURSDAY,4,0,0,0,0,0,0,Self-employed,0.3373148527686104,0.1649655785485053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1856.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
